,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
1806,2274,Meteor genocide,"Action, Casual"," Single-player, Family Sharing",2021-07-05,9.99,"0 - 20,000",16,What a game ?,What a game ?
1807,2275,Reincarnation of ocean,"Fr, Indie"," Single-player, Family Sharing",2021-08-07,199.99,"0 - 20,000",27,CatCat Gaming,CatCat Gaming
1808,2276,Kick ball,"Sports, Strategy", Single-player,2021-09-17,0.99,"0 - 20,000",18,VM Games,VM Games
1809,2277,Solo royale,"Strategy, Early Access"," Single-player, Partial Controller Support, Family Sharing",2021-09-27,4.99,"0 - 20,000",25,Andrew Campi,Andrew Campi
1810,2278,游戏：异星,"Casual, RPG"," Single-player, Family Sharing",2021-09-27,0.99,"0 - 20,000",27,无敌暴龙战神,无敌暴龙战神
1811,2279,The last will,"Adventure, Casual"," Single-player, Steam Achievements, Family Sharing",2021-10-13,1.99,"20,000 - 50,000",21,ODBear Studios,ODBear Studios
1812,2280,Evolution of war,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-10-12,1.99,"50,000 - 100,000",21,Derik Moretti da Silveira,Derik Moretti da Silveira
1813,2281,Assembly,"Casual, Indie"," Single-player, Family Sharing",2021-10-15,2.99,"0 - 20,000",17,Rockus Games,Rockus Games
1814,2282,Augmented future,"Fr, RPG"," Single-player, Family Sharing",2021-11-18,4.99,"0 - 20,000",24,Spicy Noodle Studios,Spicy Noodle Studios
1815,2283,Puzzlezon,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-11-12,1.99,"0 - 20,000",20,Dz3ro,Dz3ro
1816,2284,Spin fighter,"Indie, Strategy"," Single-player, Family Sharing",2021-11-26,9.99,"0 - 20,000",15,HEG Games,Endless Games
1817,2285,Adamanta view,"Adventure, Indie"," Single-player, Family Sharing",2021-12-01,7.99,"0 - 20,000",37,Avis Games,Avis Games
1818,2286,Touge racers,"Racing, Sports"," Single-player, Partial Controller Support, Family Sharing",2021-12-03,14.99,"0 - 20,000",27,Dolphin.App,Dolphin.App
1819,2287,Puputan legend vr,"Indie, Strategy"," Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Family Sharing",2021-12-07,29.99,"0 - 20,000",22,Digital Lontar Nusantara,Digital Lontar Nusantara
1820,2288,Real orchestra,"Fr, Education"," Tracked Controller Support, VR Only",2021-12-30,19.99,"0 - 20,000",37,StudioVR,StudioVR
1821,2290,Outsp4ce,"Fr, Casual"," Single-player, Family Sharing",2021-01-09,9.99,"0 - 20,000",19,HEG Games,Endless Games
1822,2291,Oben,"Indie, in Early Access"," Single-player, Steam Achievements, Full controller support, Family Sharing",,0.99,"0 - 20,000",85,k148,k148
1823,2292,Coronaviruses,"Indie, Strategy"," Single-player, Family Sharing",2021-01-24,0.99,"0 - 20,000",11,JorgeLira,DoGato Studio
1824,2293,Vr graffiti world,"Casual, Simulation"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-08-05,1.99,"0 - 20,000",28,Saturn VR,Saturn VR 
1825,2294,Magical cat cafe and heroes,"RPG, Simulation"," Single-player, Family Sharing",2021-01-29,7.99,"0 - 20,000",37,CorvusCorax_studio,CorvusCorax_studio
1826,2295,Dream escape,"Simulation, in Early Access"," Single-player, Tracked Controller Support, VR Only, Family Sharing",,9.99,"0 - 20,000",24,SecondWorldVR Studios,SecondWorldVR Studios
1827,2296,Vr spaceship battle,"Casual, Sports"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-02-19,2.99,"0 - 20,000",41,William at Oxford,William at Oxford
1828,2298,Balloon azuna,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-09-10,0.59,"0 - 20,000",31,Anamik Majumdar,Anamik Majumdar
1829,2299,Hand with hand,"Casual, Indie"," Single-player, Family Sharing",2021-09-21,0.99,"0 - 20,000",44,山高水远,山高水远
1830,2300,肉牛养殖计划,"Simulation, Strategy"," Single-player, Family Sharing",2021-04-01,3.99,"0 - 20,000",85,明艺工作室,明艺工作室
1831,2301,Plush madness,"Action, Indie"," Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Tracked Controller Support, VR Supported, Family Sharing",2021-08-26,1.99,"0 - 20,000",33,Rhine Games,Rhine Games
1832,2302,World of stalkers,"Massively Multiplayer, Early Access"," Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2021-09-16,12.99,"0 - 20,000",176,FragZonaGame,FragZonaGame
1833,2303,Void warfare,"Indie, Simulation"," Single-player, Steam Achievements, Full controller support, Stats, Steam Leaderboards, Family Sharing",2021-06-06,1.99,"0 - 20,000",50,XMX Studios,XMX Studios
1834,2304,Pincushion,"Casual, Indie", Single-player,2021-05-05,0.28,"0 - 20,000",19,Fusion Digital,kovalevviktor
1835,2305,Abi and the soul,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-12-02,2.99,"0 - 20,000",70,David Pierucci,PG Entertainment
1836,2306,Zombies desert and guns,"Fr, Action"," Single-player, Family Sharing",2021-06-07,1.09,"0 - 20,000",30,Phoenixxx Games,Phoenixxx Games
1837,2307,Detective bureau simulator,"Simulation, Early Access"," Single-player, Family Sharing",2021-06-01,4.99,"0 - 20,000",33,Detective Bureau Simulator,Detective Bureau Simulator
1838,2308,Twin balls,"Casual, Indie"," Single-player, Family Sharing",2021-08-02,0.99,"0 - 20,000",19,beans rolls,beans rolls
1839,2309,Escape ninja,"Action, Simulation"," Single-player, Full controller support, Steam Cloud, Family Sharing",2021-09-29,15.99,"0 - 20,000",87,MBA International,MBA International
1840,2310,Sweet match 3,"Casual, Indie"," Single-player, Family Sharing",2021-09-23,7.99,"0 - 20,000",13,hellydev,hellydev
1841,2311,Cubicus 2,"Casual, Indie"," Single-player, Family Sharing",2021-09-25,0.99,"0 - 20,000",24,Louie Inc,Louie Inc
1842,2313,The abandoned,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing",2021-10-14,4.99,"0 - 20,000",19,Sly Cat Games,Sly Cat Games
1843,2314,Devil tears,"Fr, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-12,0.49,"0 - 20,000",43,ImperiumGame,ㅤkovalevviktor
1844,2315,Gecky the deenosaur stars in! adventures in sunnydoodle swimmingland!,"RPG, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-10-22,1.42,"0 - 20,000",10,Moon Prism Games,Moon Prism Games
1845,2316,Traxworld,"Simulation, Early Access"," Single-player, Family Sharing",2021-11-27,14.99,"20,000 - 50,000",78,Artavazd Manukyan,ENHANCE3D
1846,2317,Sludge fighters,"Indie, Early Access"," Multi-player, PvP, Online PvP, LAN PvP, Partial Controller Support, Family Sharing",2021-12-09,4.99,"0 - 20,000",13,SharkOPuffs Game Studios,SharkOPuffs Game Studios
1847,2318,Item synthesis and dungeon exploration,"RPG, Strategy"," Single-player, Partial Controller Support, Family Sharing",2021-12-21,2.44,"0 - 20,000",43,OikariBuncho,OikariBuncho
1848,2319,Drone simulator,"Simulation, Sports"," Single-player, Full controller support, Family Sharing",2021-12-22,9.99,"0 - 20,000",57,Ammonite Design Studios Ltd,Ammonite Design Studios Ltd
1849,2320,Piece of mind,"Simulation, Early Access"," Single-player, Family Sharing",2021-03-19,14.99,"0 - 20,000",186,Rig Studio,Rig Studio
1850,2321,Undercover brother,"Indie, RPG"," Single-player, Family Sharing",2021-01-14,19.99,"0 - 20,000",30,JY,JY
1851,2322,Negative: the way of shinobi,"Adventure, Indie"," Single-player, Full controller support, Family Sharing",2021-02-18,1.19,"0 - 20,000",72,Art Games Studio S.A.,Art Games Studio S.A.
1852,2323,Domino killer,"Indie, Strategy"," Single-player, Family Sharing",2021-02-28,0.99,"0 - 20,000",15,Vitok,Vitok
1853,2324,Super robin,"Simulation, Sports"," Single-player, Family Sharing",2021-05-10,3.99,"0 - 20,000",26,JoyPlus,JoyPlus
1854,2325,Candy gun,"Indie, Strategy"," Single-player, Family Sharing",2021-08-12,1.09,"20,000 - 50,000",20,wow wow Games,wow wow Games
1855,2326,Titan nebula,"Fr, Action"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-05-14,2.99,"0 - 20,000",61,Pipocation Games,Pipocation Games
1856,2327,神启神落,"Indie, RPG"," Single-player, Family Sharing",,1.99,"20,000 - 50,000",93,RestfulSense,RestfulSense
1857,2328,100 days,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-08-18,1.99,"0 - 20,000",53,SMgames,SMgames
1858,2329,Neutron and the tri-spark,"Casual, Indie"," Single-player, Family Sharing",2021-09-15,0.99,"0 - 20,000",20,ANIY Studio,ANIY Studio
1859,2330,Haunted house - the murder,"Action, Adventure"," Single-player, Family Sharing",2021-09-21,1.99,"0 - 20,000",15,Yannik Leuenberger,Deadcloud Productions
1860,2331,Vr fighter jets war,"Casual, Simulation"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-05-04,2.99,"0 - 20,000",122,William at Oxford,William at Oxford
