Name,Genre,Category,Release_Date,Price (in $),Followers,Developers,Publishers,Ownership_Midpoint
Pog 5,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud",2021-08-24,1.99,48,"""Cute Hannahs Games""","""Cute Hannahs Games""",10000.0
Ultimate demolition,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",2021-04-30,0.99,25,Yang Sun,Yang Sun,10000.0
Smoots golf,"Indie, Sports"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-11-18,9.99,86,Kaneda Games,JanduSoft,10000.0
Theofil,"Adventure, Indie"," Single-player, Family Sharing",2021-04-09,2.99,35,Sons of welder,Spirit Games Studio,35000.0
Axiom alternative ii,"Casual, Indie"," Single-player, Steam Achievements, Captions available, Steam Cloud, Family Sharing",2021-06-09,0.74,39,Triority Interactive Novels,Triority Interactive Novels,10000.0
Stinky feet: the adventure of bigfoot,"Adventure, Indie"," Single-player, Family Sharing",2021-12-17,14.99,33,StrvStraja,StrvStraja,10000.0
Ball.io,"RPG, in Early Access"," Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",,0.79,35,Ant Design Games,Ant Design Games,10000.0
Halloween riddles mysterious griddlers,"Fr, Casual"," Single-player, Family Sharing",2021-09-08,4.99,18,Creobit,8floor,10000.0
Holiday jigsaw easter,"Fr, Casual"," Single-player, Family Sharing",2021-09-09,4.99,15,Creobit,8floor,10000.0
Powernaut 2,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-09-24,0.49,55,Alex Hall,Alex Hall,10000.0
Holiday jigsaw thanksgiving day,"Fr, Casual"," Single-player, Family Sharing",2021-09-27,4.99,18,Creobit,8floor,10000.0
Deformity,"Indie, Strategy"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Family Sharing",2021-10-19,7.99,93,Andrey Larionenko,Andrey Larionenko,10000.0
Sharknado vr (arcade edition),"Indie, Simulation"," Single-player, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",2021-12-09,0.99,39,Melcher Studios,Autumn VR,10000.0
Airplanes dogfight racer,"Simulation, Sports"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, In-App Purchases, Remote Play Together, Family Sharing",2021-10-28,3.99,44,Khushal Khan,limitless games,10000.0
1001 jigsaw. home sweet home. back from vacation,"Fr, Casual"," Single-player, Family Sharing",2021-10-21,0.74,17,Somer Games,8floor,10000.0
Thanksgiving day griddlers,"Fr, Casual"," Single-player, Family Sharing",2021-11-05,2.99,19,Creobit,8floor,10000.0
There is no stairs,"Fr, Casual"," Single-player, Family Sharing",2021-12-05,1.99,17,HYPER GATE,HYPER GATE,10000.0
Cast vr,"RPG, Strategy"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-02-19,14.99,109,Humble Sage Games,Humble Sage Games,10000.0
"Gamitate - meditate, relax, feel better","Casual, Indie"," Single-player, Family Sharing",2021-05-10,99.99,74,Infinity Apparatus,Infinity Apparatus,10000.0
Weltreich: political strategy simulator,"Strategy, Early Access"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-08-05,5.99,95,Light Game Studio,Light Game Studio,10000.0
Streamsavers,"RPG, Early Access"," Single-player, Multi-player, PvP, Online PvP, Family Sharing",2021-01-20,2.49,97,MikeTheTech,MikeTheTech,10000.0
Perspective,"Indie, Strategy"," Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Family Sharing",2021-05-21,0.99,31,Dean Jackson,Dean Jackson,10000.0
Dark facets,"Indie, Strategy"," Single-player, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-04-09,9.99,47,Oluin,Oluin,10000.0
Dragon's bane,"RPG, Early Access"," Single-player, Family Sharing",2021-04-08,5.99,62,Struggle Bus Games LLC,Struggle Bus Games LLC,10000.0
Jab!,"Casual, Indie"," Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Family Sharing",2021-08-13,4.99,32,Hyperspeed Entertainment,Hyperspeed Entertainment,10000.0
Z mutants,"Action, Adventure"," Single-player, Family Sharing",2021-07-27,1.99,33,Bullet Brain,Bullet Brain,35000.0
The bolt age,"Action, Indie"," Single-player, Steam Achievements, Stats, Family Sharing",2021-08-20,24.99,77,Cut-out studio,Cut-out studio,35000.0
Monster battle quest,"RPG, Strategy"," Single-player, Family Sharing",2021-05-04,1.99,57,Boogygames Studios,Boogygames Studios,10000.0
Becoming,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-04-08,1.99,97,Atelier Becoming,ODBear Studios,10000.0
Memorize v,"Casual, Indie", Single-player,2021-04-03,0.28,24,CourTEAM,kovalevviktor,35000.0
The last defense!,"Indie, Strategy"," Single-player, Family Sharing",2021-07-09,2.99,26,Neem Game Studios,Neem Game Studios,10000.0
Mystery trackers: nightsville horror collector's edition,"Adventure, Casual"," Single-player, Family Sharing",2021-05-21,9.99,70,Elephant Games,Big Fish Games,35000.0
Dekonstrukt,"Adventure, Indie"," Single-player, Family Sharing",2021-07-13,1.99,29,MASTERBASTION,MASTERBASTION,10000.0
Haunted hotel: a past redeemed collector's edition,"Adventure, Casual"," Single-player, Family Sharing",2021-06-18,9.99,53,Elephant Games,Big Fish Games,10000.0
"Sit down, please","Indie, Simulation"," Single-player, Family Sharing",2021-09-17,1.99,61,SawyHeartGames,SawyHeartGames,75000.0
Jamm,"Design & Illustration, Utilities", ,2021-11-12,5.99,88,Cave Bear Studio LLC,Cave Bear Studio LLC,10000.0
Soccer boss,"Strategy, Early Access"," Single-player, Steam Workshop, Family Sharing",2021-10-21,12.99,75,Alternative Software Ltd,Alternative Software Ltd,10000.0
Four animals,"Casual, Indie"," Single-player, Family Sharing",2021-11-11,0.99,34,beans rolls,beans rolls,10000.0
Maze art: rainbow,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-12-03,1.99,33,My Label Game Studio,My Label Game Studio,10000.0
Illumi-naughty ;) - remastered,"Action, Indie"," Single-player, Steam Achievements, Family Sharing",2021-12-20,1.99,18,punkfruit,punkfruit,10000.0
Mocapforall,"Animation & Modeling, Early Access", ,2021-12-30,119.99,489,Akiya Research Institute,Akiya Research Institute,10000.0
Decamped,"Adventure, Indie"," Single-player, Family Sharing",2021-04-29,3.99,76,Sobek Games,Sobek Games,10000.0
Nova genetics,"RPG, Early Access"," Single-player, Family Sharing",2021-03-26,14.99,328,Reside,ObligeNet,10000.0
Plasticalypse - submarine adventures,"Casual, Early Access"," Single-player, Family Sharing",2021-03-04,8.99,"3,050",FLUXO GAMES,FLUXO GAMES,10000.0
Kuro tactics,"RPG, Strategy"," Single-player, Family Sharing",2021-07-01,2.99,85,KurowareLLC,KurowareLLC,75000.0
Nightmare survival,"Action, Indie"," Single-player, Family Sharing",2021-03-12,0.99,25,INFINITE BRIDGE,INFINITE BRIDGE,10000.0
Chimeras: what wishes may come collector's edition,"Adventure, Casual"," Single-player, Family Sharing",2021-08-13,13.99,58,Elephant Games,Big Fish Games,10000.0
Orenji-iro no kumo,"Indie, RPG"," Single-player, Family Sharing",2021-08-16,1.99,82,玫瑰工作室,玫瑰工作室,10000.0
Amid the lines,"Adventure, Indie"," Single-player, Full controller support, Family Sharing",2021-06-10,6.99,110,IBRAHIM SAWFAN,IBRAHIM SAWFAN,35000.0
Pirates of the sea,"RPG, Strategy"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Family Sharing",2021-08-19,17.99,150,Devil Dev Studios,Prestige Games,10000.0
Jurassic mahjong,"Fr, Casual"," Single-player, Family Sharing",2021-05-16,4.99,33,Creobit,8floor,10000.0
Cyberflight,"Racing, Simulation"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-08-13,2.99,49,Grenoble,Grenoble,10000.0
Fantasy friends: under the sea,"Fr, Casual"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-09-28,19.99,36,Xaloc Studios,Maximum Entertainment,10000.0
Dodge,"Casual, Indie"," Single-player, Family Sharing",2021-06-29,0.99,18,INFINITE BRIDGE,INFINITE BRIDGE,10000.0
Wanderlust: the bermuda secret collector's edition,"Adventure, Casual"," Single-player, Family Sharing",2021-08-31,13.99,43,Mad Head Games,Big Fish Games,10000.0
Join rush attack / 加入突袭,"Simulation, Sports"," Single-player, Partial Controller Support, Family Sharing",2021-10-06,0.99,368,Cristian Manolachi,Atomic Fabrik,35000.0
Fossilfuel vr: raptor isolation,"Adventure, Indie"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-10-28,9.99,587,DangerousBob Studio LLC,DangerousBob Studio LLC,10000.0
